"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"¡Ay mi Madre! Restobar Plaza Ñuñoa","4.9","157","Alcaldesa Balbina Vera 3550, 7750000 Ñuñoa, Región Metropolitana","9 4497 8597","","Restaurante","https://www.google.com/maps/place/%C2%A1Ay+mi+Madre!+Restobar+Plaza+%C3%91u%C3%B1oa/@-33.4536316,-70.5936559,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfd02d008955:0x95e3c1a6b2a42343!8m2!3d-33.4536316!4d-70.5936559!16s%2Fg%2F11ms539982?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4536316","-70.5936559","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"Castillo Hamburgo","4.7","32","Los Tres Antonios 397, 7750254 Ñuñoa, Región Metropolitana","(2) 2343 2198","https://castillo-hamburgo.getjusto.com/","Restaurante","https://www.google.com/maps/place/Castillo+Hamburgo/data=!4m7!3m6!1s0x9662cfee6466d97d:0xa94dd23e0552f06!8m2!3d-33.4583194!4d-70.6033061!16s%2Fg%2F11p6vdjl9h!19sChIJfdlmZO7PYpYRBi9V4CPdlAo?authuser=0&hl=es-419&rclk=1","-33.4583194","-70.6033061","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Patio Almeyda","4.5","98","Dublé Almeyda 2900, 7750074 Ñuñoa, Región Metropolitana","9 6202 8525","http://www.patioalmeyda.cl/","Bar","https://www.google.com/maps/place/Patio+Almeyda/data=!4m7!3m6!1s0x9662cf6bc62c30d7:0x6d0ec7ffff7b88a0!8m2!3d-33.4558115!4d-70.6012551!16s%2Fg%2F11q8t60l20!19sChIJ1zAsxmvPYpYRoIh7___HDm0?authuser=0&hl=es-419&rclk=1","-33.4558115","-70.6012551","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","No","","","","","","","","","","","","","","","",""
"Restaurante Peruano ENTRE MAR Y TIERRA","4.7","316","Pedro de Ona 031, 8320000 Ñuñoa, Región Metropolitana","9 6463 6426","http://www.entre-marytierra.cl/","Restaurante peruano","https://www.google.com/maps/place/Restaurante+Peruano+ENTRE+MAR+Y+TIERRA/@-33.4539742,-70.629641,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c55d8a478a83:0x4cdbaaa649b8affb!8m2!3d-33.4539742!4d-70.629641!16s%2Fg%2F11rmsyns_f?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4539742","-70.629641","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Kechua Restaurant","4.5","25","Alcaldesa Balbina Vera 3561, Local 102, 7750000 Ñuñoa, Región Metropolitana","(2) 2401 7556","https://kechuarestaurantes.cl/nunoa/","Restaurante peruano","https://www.google.com/maps/place/Kechua+Restaurant/data=!4m7!3m6!1s0x9662cfb0f4386de5:0xb5c7a28854d2fa9d!8m2!3d-33.4538533!4d-70.5937068!16s%2Fg%2F11tnm645sj!19sChIJ5W049LDPYpYRnfrSVIiix7U?authuser=0&hl=es-419&rclk=1","-33.4538533","-70.5937068","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Finestra","4.4","33","Av. Irarrázaval 3465, 7790825 Ñuñoa, Región Metropolitana","(2) 2205 4502","http://www.lafinestra.cl/","Restaurante","https://www.google.com/maps/place/La+Finestra/data=!4m7!3m6!1s0x9662cfbef8dd4c6d:0xe6916fd1306cf3d4!8m2!3d-33.4553941!4d-70.5948372!16s%2Fg%2F1tfmdfmx!19sChIJbUzd-L7PYpYR1PNsMNFvkeY?authuser=0&hl=es-419&rclk=1","-33.4553941","-70.5948372","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Como en Lima","4.3","626","Manuel de Salas 71, 7790570 Ñuñoa, Región Metropolitana","(2) 2209 8867","","Restaurante","https://www.google.com/maps/place/Como+en+Lima/data=!4m7!3m6!1s0x9662cfbec3166451:0x5bacdff36b13c56!8m2!3d-33.4545639!4d-70.5931006!16s%2Fg%2F11cn9mz9v4!19sChIJUWQWw77PYpYRVjyxNv_NugU?authuser=0&hl=es-419&rclk=1","-33.4545639","-70.5931006","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"Piccola Italia Plaza ñuñoa","4.6","237","Jorge Washington 111, 7790864 Ñuñoa, Región Metropolitana","(2) 2994 2086","https://gour.media/la-piccola-italia/alameda/","Restaurante italiano","https://www.google.com/maps/place/Piccola+Italia+Plaza+%C3%B1u%C3%B1oa/data=!4m7!3m6!1s0x9662cf004248a8eb:0x9c828311cd264268!8m2!3d-33.4539072!4d-70.5933615!16s%2Fg%2F11ym_yb9yy!19sChIJ66hIQgDPYpYRaEImzRGDgpw?authuser=0&hl=es-419&rclk=1","-33.4539072","-70.5933615","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Punto País Restaurant","4.5","780","Av. Simón Bolívar 3175, 7770110 Ñuñoa, Región Metropolitana","(2) 3287 2188","https://www.puntopais.cl/","Restaurante","https://www.google.com/maps/place/Punto+Pa%C3%ADs+Restaurant/@-33.4492307,-70.5965692,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfbd41051cef:0x6c5bb104ce58f86!8m2!3d-33.4492307!4d-70.5965692!16s%2Fg%2F11f1zlnj_7?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4492307","-70.5965692","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante Moray","4.7","750","Av. Italia 1586, 7750000 Ñuñoa, Región Metropolitana","(2) 3292 4513","http://moray.cl/","Restaurante","https://www.google.com/maps/place/Restaurante+Moray/@-33.4490363,-70.6241282,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c59bf408de7f:0xf0bcf121cfe7e8ce!8m2!3d-33.4490363!4d-70.6241282!16s%2Fg%2F11pcrq1qlp?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4490363","-70.6241282","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Antonia Lounge","4.7","197","Manuel de Salas 162, 7790789 Ñuñoa, Región Metropolitana","9 3910 4660","https://barrioplazanunoa.cl/v2/2024/06/14/antonia-lounge/","Restaurante","https://www.google.com/maps/place/Antonia+Lounge/@-33.453623,-70.5933652,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf1795ab37af:0x26f0848757404258!8m2!3d-33.453623!4d-70.5933652!16s%2Fg%2F11sbhtqq6_?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.453623","-70.5933652","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Ajiaco","4.5","793","Lic. de Las Peñas 5174, 7790713 Ñuñoa, Región Metropolitana","","https://www.instagram.com/elajiaconunoa/?hl=es-la","Restaurante","https://www.google.com/maps/place/Ajiaco/data=!4m7!3m6!1s0x9662cfb51b3099e3:0x6cddabfcf561183b!8m2!3d-33.4530569!4d-70.5764405!16s%2Fg%2F11c52k4vdw!19sChIJ45kwG7XPYpYROxhh9fyr3Ww?authuser=0&hl=es-419&rclk=1","-33.4530569","-70.5764405","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Golfo Di Napoli Trattoria e Pizzeria","4.6","10","Dublé Almeyda 2435, 7750147 Ñuñoa, Región Metropolitana","(2) 2341 3675","https://golfodinapoli.cl/","Restaurante italiano","https://www.google.com/maps/place/Golfo+Di+Napoli+Trattoria+e+Pizzeria/data=!4m7!3m6!1s0x9662cf916f827eaf:0x65a6a856994a5153!8m2!3d-33.455948!4d-70.605786!16s%2Fg%2F1tj1nqnk!19sChIJr36Cb5HPYpYRU1FKmVaopmU?authuser=0&hl=es-419&rclk=1","-33.455948","-70.605786","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Peyo Restaurant","4.4","59","Lo Encalada 465, 7750200 Ñuñoa, Región Metropolitana","(2) 2506 4758","https://peyo.cl/","Restaurante chileno","https://www.google.com/maps/place/Peyo+Restaurant/@-33.456417,-70.6249084,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c5624b4feab9:0x3d815e7e459c8d2e!8m2!3d-33.456417!4d-70.6249084!16s%2Fg%2F1hjh8m92r?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.456417","-70.6249084","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
