"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"TACU TACU Restaurante - Providencia","4.8","08","Av. Andrés Bello 2233, Local 2217, 7510056 Providencia, Región Metropolitana","9 7523 8600","https://instagram.com/tacutacuprovidencia?igshid=OGQ2MjdiOTE=","Restaurante peruano","https://www.google.com/maps/place/TACU+TACU+Restaurante+-+Providencia/data=!4m7!3m6!1s0x9662cf4b70822fe9:0xf81994fdb40ea03c!8m2!3d-33.4203473!4d-70.6104797!16s%2Fg%2F11tfz6cvsk!19sChIJ6S-CcEvPYpYRPKAOtP2UGfg?authuser=0&hl=es-419&rclk=1","-33.4203473","-70.6104797","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Hambrientos & Sedientos Providencia","4.9","857","Tomás Andrews 67, 7500000 Providencia, Región Metropolitana","9 6796 6840","https://www.hambrientoschile.cl/pedir","Pub restaurante","https://www.google.com/maps/place/Hambrientos+%26+Sedientos+Providencia/data=!4m7!3m6!1s0x9662c54e18342111:0x42730626ff48fd4e!8m2!3d-33.4417148!4d-70.6325479!16s%2Fg%2F11m9zcrvgy!19sChIJESE0GE7FYpYRTv1I_yYGc0I?authuser=0&hl=es-419&rclk=1","-33.4417148","-70.6325479","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Bertazzo Trattoria","4.9","80","Emilio Vaisse 402, 7501430 Providencia, Región Metropolitana","9 4746 2886","https://linktr.ee/bertazzo","Restaurante argentino","https://www.google.com/maps/place/Bertazzo+Trattoria/data=!4m7!3m6!1s0x9662c50068aaf8fb:0x819f7672d9d163f5!8m2!3d-33.4459438!4d-70.6274188!16s%2Fg%2F11vxswfqfx!19sChIJ-_iqaADFYpYR9WPR2XJ2n4E?authuser=0&hl=es-419&rclk=1","-33.4459438","-70.6274188","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Kilú - Casa de Carnes","4.8","420","José Manuel Infante 28, 7500641 Providencia, Región Metropolitana","9 9916 9146","https://www.kilucasadecarnes.cl/","Restaurante especializado en filetes","https://www.google.com/maps/place/Kil%C3%BA+-+Casa+de+Carnes/data=!4m7!3m6!1s0x9662c5d9547e1577:0xfc5330f70249a13c!8m2!3d-33.431898!4d-70.623884!16s%2Fg%2F11wj0k0h23!19sChIJdxV-VNnFYpYRPKFJAvcwU_w?authuser=0&hl=es-419&rclk=1","-33.431898","-70.623884","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"La Yunta Providencia","4.6","38","Manuel Montt 748, 7500977 Providencia, Región Metropolitana","(2) 3270 0556","http://www.layunta.cl/","Restaurante","https://www.google.com/maps/place/La+Yunta+Providencia/data=!4m7!3m6!1s0x9662cf7c1d4926e9:0x86997b36f37f3a27!8m2!3d-33.4349707!4d-70.6163277!16s%2Fg%2F11cpppmpkp!19sChIJ6SZJHXzPYpYRJzp_8zZ7mYY?authuser=0&hl=es-419&rclk=1","-33.4349707","-70.6163277","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurant Viva La Vida","4.8","63","Constitución 166, 7520367 Providencia, Región Metropolitana","9 8438 2683","https://www.restaurantvivalavida.cl/","Restaurante chileno","https://www.google.com/maps/place/Restaurant+Viva+La+Vida/data=!4m7!3m6!1s0x9662c5900af9e0f1:0x7a3457df8c8e8df0!8m2!3d-33.4323847!4d-70.6350521!16s%2Fg%2F11bbrm9xzn!19sChIJ8eD5CpDFYpYR8I2OjN9XNHo?authuser=0&hl=es-419&rclk=1","-33.4323847","-70.6350521","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"La Hacienda Gaucha","4.4","20","Providencia Región Metropolitana CL, Av. Pedro de Valdivia 1719, 7511282 Santiago, Providencia, Región Metropolitana","9 5396 4302","https://www.instagram.com/lahaciendagaucha","Restaurante especializado en filetes","https://www.google.com/maps/place/La+Hacienda+Gaucha/data=!4m7!3m6!1s0x9662cf77d05d9733:0x50a5c2a41484f2f5!8m2!3d-33.4387109!4d-70.6083537!16s%2Fg%2F11b7q82hfy!19sChIJM5dd0HfPYpYR9fKEFKTCpVA?authuser=0&hl=es-419&rclk=1","-33.4387109","-70.6083537","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Le Bistrot de Gaetan","4.7","96","Sta. Magdalena 80, Local 7, 7510054 Providencia, Región Metropolitana","(2) 2232 1054","http://www.lebistrot.cl/","Restaurante francés","https://www.google.com/maps/place/Le+Bistrot+de+Gaetan/data=!4m7!3m6!1s0x9662cf6627dc8ad1:0xe6d73bc9a7a6887!8m2!3d-33.4208641!4d-70.6100723!16s%2Fg%2F1wl4rt9r!19sChIJ0YrcJ2bPYpYRh2h6mrxzbQ4?authuser=0&hl=es-419&rclk=1","-33.4208641","-70.6100723","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"El Ancla Providencia","4.4","16","Sta. Beatriz 191, Providencia, Región Metropolitana","9 6122 0801","http://www.elancla.cl/","Restaurante","https://www.google.com/maps/place/El+Ancla+Providencia/data=!4m7!3m6!1s0x9662cf624adfc5c7:0x1baee6a121460f2c!8m2!3d-33.4260057!4d-70.6186499!16s%2Fg%2F11bycjg_bd!19sChIJx8XfSmLPYpYRLA9GIaHmrhs?authuser=0&hl=es-419&rclk=1","-33.4260057","-70.6186499","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Ay Mi Madre Restobar Providencia","4.4","479","Gral Flores 218, 7750000 Providencia, Región Metropolitana","9 4497 8597","https://linktr.ee/Aymimadrecl","Pub restaurante","https://www.google.com/maps/place/Ay+Mi+Madre+Restobar+Providencia/data=!4m7!3m6!1s0x9662cf31549a0e2f:0xe91ba3c5bee359c3!8m2!3d-33.426514!4d-70.6200915!16s%2Fg%2F11n08wt6lj!19sChIJLw6aVDHPYpYRw1njvsWjG-k?authuser=0&hl=es-419&rclk=1","-33.426514","-70.6200915","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Giratorio","4.5","90","Av. Nueva Providencia 2250, 7500000 Providencia, Región Metropolitana","9 4247 3940","http://giratorio.cl/","Restaurante","https://www.google.com/maps/place/Giratorio/data=!4m7!3m6!1s0x9662cf68c0b11a77:0x2943c2e12a71bae4!8m2!3d-33.421721!4d-70.6085958!16s%2Fg%2F1hjhbv_h4!19sChIJdxqxwGjPYpYR5LpxKuHCQyk?authuser=0&hl=es-419&rclk=1","-33.421721","-70.6085958","Providencia","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
